year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version,agreement,dyad,rivnumb,rivalry,totdisp,rivtyp2,rivtypold,ps,rivals,begin,conttype,col.conttype,any.cont,cap_gainer,pop_gainer,cap_loser,pop_loser,caprat,polity.gainer,polity.loser,joint.dem,settle,new.border.settle1,new.border.settle5,tenure.loser,tenure.gainer,simul.transfers,prev.transfers,flow1,flow2,flow1.lag1,flow2.lag1,flow1.lead1,flow2.lead1,gainer_loser_lead3,loser_gainer_lead3,gainer_loser_lead5,loser_gainer_lead5,gainer_loser_lag3,loser_gainer_lag3,gainer_loser_lag5,loser_gainer_lag5,agg_lead3,agg_lead5,agg_lag3,agg_lag5,kmdist,gdp.loser,gdp.gainer,agg_pop,agg_gdp,fta,gatt1,gatt2,comlang,comcol,colony,curcol,currencyu,joint.gatt.any,joint.gatt.formal
1822.0,5,100.0,1,1,130,1,550685.0,600000,1,230.0,0,0,0,0,44,0,1,4.01,0.0,100230.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,NA,NA,0.0325331,11584e3,NA,NA,-4.0,0.0,NA,NA,NA,NA,NA,1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859.0,NA,140.0,1,3,101,1,156e3,NA,0,101.0,1,1,0,0,134,0,0,4.01,1.0,101140.0,NA,NA,NA,NA,NA,0.5,0.0,1841.0,1.0,0.0,1.0,0.0087123,8291e3,0.0014102,1484e3,0.16186311307002743,-6.0,-5.0,0.0,0.0,0.0,0.0,NA,19.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3512,NA,NA,9775e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899.0,10,101.0,1,3,110,1,1.0,NA,0,200.0,0,0,0,0,380,0,0,4.01,1.0,101200.0,10278,101200,4,RIVALRY,PROTO,NA,1.0,NA,0.0,1.0,1.0,6.103e-4,2436e3,0.1686449,40774e3,276.331148615435,-3.0,7.0,0.0,NA,0.0,0.0,4.0,0.0,2,0.0,2.36,0.21,2.25,0.21,2.71,0.59,0.43,2.216666666666667,0.482,2.622,0.2633333333333333,2.9433333333333334,0.35,3.206,2.646666666666667,3.104,3.2066666666666666,6.412,7548,320472.38188589,3452.9381980751373,4321e4,323925.32008396514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899.0,10,200.0,0,3,101,0,155400.0,NA,0,101.0,1,1,0,0,383,0,0,4.01,1.0,101200.0,10278,101200,4,RIVALRY,PROTO,NA,1.0,NA,0.0,1.0,1.0,0.1686449,40774e3,6.103e-4,2436e3,0.003618846463782777,7.0,-3.0,0.0,NA,0.0,0.0,0.0,4.0,2,0.0,2.36,0.21,2.25,0.21,2.71,0.59,2.216666666666667,0.43,2.622,0.482,2.9433333333333334,0.2633333333333333,3.206,0.35,2.646666666666667,3.104,3.2066666666666666,0.7,7548,3452.9381980751373,320472.38188589,4321e4,323925.32008396514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942.0,1,135.0,1,3,130,1,190807.0,31000,0,130.0,1,1,0,0,589,0,1,4.01,1.0,130135.0,294,130135,21,RIVALRY,ENDURING,0.0,1.0,1854.0,1.0,0.0,1.0,0.0014577,692e4,7.325e-4,258e4,0.5025039445702133,2.0,-1.0,0.0,0.0,0.0,0.0,2.0,3.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349,4940.986484717745,21514.35998198739,95e5,26455.346466705134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904.0,5,140.0,1,3,130,1,67600.0,NA,0,130.0,1,1,0,0,406,0,0,4.01,1.0,130140.0,NA,NA,NA,NA,NA,0.5,0.0,1854.0,1.0,0.0,1.0,0.0101368,19587e3,3.789e-4,135e4,0.03737865993212848,-3.0,-3.0,0.0,NA,0.0,0.0,3.0,2.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3780,1494.808912478484,24026.881,20937e3,25521.689912478487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909.0,NA,135.0,1,3,145,1,26e3,NA,0,145.0,1,1,0,0,426,0,0,4.01,1.0,135145.0,301,135145,2,ISOLATED,ISOLATED,0.5,1.0,1848.0,1.0,0.0,1.0,0.0011678,39e5,4.233e-4,193e4,0.36247645144716556,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,NA,NA,0.01,0.56,NA,NA,NA,NA,NA,NA,0.8466666666666667,NA,NA,NA,NA,NA,NA,NA,1069,NA,6554.166242350061,583e4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883.0,10,155.0,1,1,135,0,51480.0,20000,0,135.0,1,1,0,0,262,0,1,4.01,0.0,135155.0,10302,135155,8,RIVALRY,ENDURING,NA,1.0,1883.0,1.0,0.0,1.0,0.0025644,2408e3,0.0013604,2759e3,0.5304944626423335,3.0,-3.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2425,2630.0472168283563,7788.494640852977,5167e3,10418.541857681334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929.0,6,135.0,1,3,155,1,8498.0,30000,0,155.0,1,1,0,0,557,0,0,4.01,1.0,135155.0,NA,NA,NA,NA,NA,0.5,0.0,1883.0,1.0,0.0,1.0,0.0015644,557e4,0.0029471,431e4,1.8838532344668881,-9.0,-2.0,0.0,0.0,0.0,0.0,2.0,10.0,1,1.0,0.78,9.79,1.11,7.89,0.87,7.12,5.216666666666667,0.5666666666666667,4.3100000000000005,0.79,8.056666666666667,1.19,8.0,1.8980000000000001,5.783333333333333,5.1000000000000005,9.246666666666666,3.7960000000000003,2425,25630.68138649966,18285.468719421795,988e4,43916.15010592145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867.0,NA,140.0,1,3,145,1,162500.0,NA,0,145.0,1,1,0,0,179,0,0,4.01,1.0,140145.0,NA,NA,NA,NA,NA,0.5,0.0,1848.0,1.0,0.0,1.0,0.0137314,8362e3,4.191e-4,1288e3,0.030521286977292922,-6.0,-7.0,0.0,0.0,0.0,0.0,NA,27.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178,NA,NA,965e4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903.0,11,140.0,1,3,145,1,191e3,70000,0,145.0,1,1,0,0,402,0,0,4.01,1.0,140145.0,309,140145,1,ISOLATED,ISOLATED,0.5,1.0,1848.0,1.0,0.0,1.0,0.0099407,1918e4,4.546e-4,182e4,0.0457311859325802,-3.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,2,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178,NA,23565.653,21e6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903.0,NA,145.0,1,3,140,1,3108.0,NA,0,140.0,1,1,0,0,403,0,0,4.01,1.0,140145.0,309,140145,1,ISOLATED,ISOLATED,0.5,1.0,1848.0,1.0,0.0,1.0,4.546e-4,182e4,0.0099407,1918e4,21.866915970083593,2.0,-3.0,0.0,0.0,0.0,0.0,1.0,4.0,2,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178,23565.653,NA,21e6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907.0,NA,140.0,1,3,145,1,65e3,NA,0,145.0,1,1,0,0,420,0,0,4.01,1.0,140145.0,NA,NA,NA,NA,NA,0.5,0.0,1848.0,1.0,0.0,1.0,0.0108436,2086e4,4.646e-4,19e5,0.04284554944852263,-3.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,1,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178,NA,27112.633999999995,2276e4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
